date,open,high,low,close,volume
2025-04-30,8.44,8.6,8.41,8.55,269300.0
2025-05-06,8.61,9.07,8.61,8.95,625220.0
2025-05-07,9.25,9.39,8.97,9.0,730386.0
2025-05-08,8.94,9.06,8.93,9.0,373022.0
2025-05-09,9.01,9.02,8.78,8.82,253754.0
2025-05-12,8.88,9.09,8.88,9.04,312496.0
2025-05-13,9.1,9.12,8.92,9.03,350806.0
2025-05-14,9.0,9.5,8.99,9.24,925582.0
2025-05-15,9.15,9.18,9.0,9.01,439104.0
2025-05-16,9.0,9.04,8.91,8.92,282681.0
2025-05-19,8.95,9.24,8.91,9.15,503238.0
2025-05-20,9.09,9.27,9.05,9.2,434848.0
2025-05-21,9.17,9.3,9.14,9.15,281846.0
2025-05-22,9.12,9.2,9.08,9.1,280026.0
2025-05-23,9.09,9.15,8.93,8.95,263597.0
2025-05-26,8.92,9.02,8.9,9.0,142127.0
2025-05-27,8.99,9.0,8.89,8.95,137075.0
2025-05-28,8.95,8.97,8.8,8.81,178007.0
2025-05-29,8.85,9.09,8.85,9.08,360041.0
2025-05-30,9.05,9.15,8.99,9.07,201513.0
2025-06-03,9.01,9.2,9.01,9.12,238428.0
2025-06-04,9.15,9.22,9.07,9.21,284283.0
2025-06-05,9.23,9.29,9.16,9.26,292385.0
2025-06-06,9.27,9.32,9.16,9.2,258082.0
2025-06-09,9.26,9.38,9.17,9.32,361312.0
2025-06-10,9.29,9.35,9.01,9.22,394487.0
2025-06-11,9.23,9.49,9.18,9.32,512480.0
2025-06-12,9.25,9.48,9.24,9.34,389190.0
2025-06-13,9.32,9.43,9.21,9.3,382540.0
2025-06-16,9.24,9.46,9.23,9.42,333035.0
2025-06-17,9.42,9.55,9.37,9.46,341035.0
2025-06-18,9.41,9.43,9.21,9.23,284288.0
2025-06-19,9.2,9.25,8.99,9.05,333344.0
2025-06-20,9.04,9.09,8.99,9.01,194111.0
2025-06-23,8.94,9.09,8.94,9.07,226315.0
2025-06-24,9.08,9.74,9.06,9.57,1074061.0
2025-06-25,9.54,10.53,9.51,10.53,2311402.0
2025-06-26,10.84,10.98,10.22,10.51,2560632.0
2025-06-27,10.62,10.84,10.3,10.3,1486526.0
2025-06-30,10.23,10.32,9.91,10.19,985131.0
2025-07-01,10.23,10.28,9.93,10.01,645533.0
2025-07-02,9.98,10.68,9.91,10.24,1386677.0
2025-07-03,10.22,10.45,10.07,10.39,913827.0
2025-07-04,10.4,11.43,10.19,11.1,2599597.0
2025-07-07,10.86,12.2,10.86,11.77,2360765.0
2025-07-08,11.6,12.95,11.6,12.95,2011640.0
2025-07-09,13.7,14.25,13.6,14.25,1066433.0
2025-07-10,14.8,15.51,13.96,14.75,3932665.0
2025-07-11,15.0,16.23,14.45,15.82,4005261.0
2025-07-14,15.3,15.42,14.24,14.24,2021971.0
2025-07-15,13.7,13.88,13.13,13.2,3046935.0
2025-07-16,13.3,13.52,12.68,13.25,2087185.0
2025-07-17,13.25,13.58,13.02,13.3,2039876.0
2025-07-18,13.16,13.38,12.97,13.05,1390660.0
2025-07-21,12.9,13.37,12.9,13.26,1494753.0
2025-07-22,13.18,13.99,13.18,13.6,2465913.0
2025-07-23,13.39,14.76,13.39,13.93,2482239.0
2025-07-24,13.82,14.48,13.62,14.16,1771836.0
2025-07-25,14.01,14.28,13.81,13.81,1090804.0
2025-07-28,13.77,14.59,13.55,14.19,1374299.0
2025-07-29,14.1,14.13,13.4,14.06,1243388.0
2025-07-30,14.06,14.13,13.42,13.64,893633.0
2025-07-31,13.6,13.88,13.03,13.17,1002798.0
2025-08-01,13.26,13.3,12.91,13.1,652724.0
2025-08-04,12.8,13.33,12.77,13.3,508418.0
2025-08-05,13.35,13.44,13.13,13.33,601871.0
2025-08-06,13.22,13.32,13.07,13.26,514245.0
2025-08-07,13.29,13.66,13.1,13.4,943726.0
2025-08-08,13.35,13.53,13.08,13.29,638828.0
2025-08-11,13.19,14.56,13.19,14.07,1530340.0
2025-08-12,14.06,14.65,14.02,14.29,1255042.0
2025-08-13,14.31,14.98,13.9,14.9,1959186.0
2025-08-14,14.62,14.87,14.2,14.23,1408106.0
2025-08-15,14.11,15.65,14.06,15.65,1454632.0
2025-08-18,16.3,17.22,15.87,17.22,1481648.0
2025-08-19,17.6,18.94,17.5,18.7,2219064.0
2025-08-20,18.25,18.25,16.83,16.83,1999918.0
2025-08-21,16.83,17.22,16.21,16.45,1919539.0
2025-08-22,16.14,17.39,16.14,16.98,1758902.0
2025-08-25,17.03,18.1,16.99,17.21,1776549.0
2025-08-26,17.0,18.0,16.93,17.4,1302618.0
2025-08-27,17.37,17.41,16.28,16.36,1534991.0
2025-08-28,16.34,16.72,15.79,16.71,1135652.0
2025-08-29,16.85,17.1,16.5,16.86,1095536.0
2025-09-01,16.71,16.9,16.2,16.37,939773.0
2025-09-02,16.26,16.39,15.59,15.77,921637.0
2025-09-03,15.95,16.15,15.06,15.15,748567.0
2025-09-04,15.29,15.37,14.3,14.63,858469.0
2025-09-05,14.58,15.05,14.15,14.95,754549.0
2025-09-08,14.94,15.08,14.71,15.0,580710.0
2025-09-09,14.96,14.96,14.52,14.66,485518.0
2025-09-10,14.7,14.99,14.61,14.71,521140.0
2025-09-11,14.6,15.98,14.46,15.8,1289055.0
2025-09-12,15.95,16.85,15.8,16.14,1351541.0
2025-09-15,16.14,16.35,15.95,16.0,694873.0
2025-09-16,15.91,16.49,15.8,16.16,948518.0
2025-09-17,16.1,17.0,15.96,16.98,1485736.0
2025-09-18,16.5,16.5,15.29,15.48,1626002.0
2025-09-19,15.21,15.5,14.97,15.14,735277.0
2025-09-22,15.17,15.96,15.0,15.81,838014.0
2025-09-23,15.66,15.66,14.73,15.2,849507.0
2025-09-24,14.98,16.49,14.9,15.97,1197518.0
2025-09-25,15.7,16.16,15.56,15.68,804446.0
2025-09-26,15.9,16.35,15.68,15.73,977980.0
2025-09-29,15.21,16.98,15.15,16.56,1595799.0
2025-09-30,16.23,16.49,16.03,16.18,937944.0
2025-10-09,16.15,16.26,15.77,15.99,716675.0
2025-10-10,15.85,16.25,15.75,15.91,854524.0
2025-10-13,15.31,16.1,15.25,16.0,614190.0
2025-10-14,16.16,16.4,15.3,15.32,796938.0
2025-10-15,15.32,15.4,14.4,14.93,759739.0
2025-10-16,14.8,14.89,14.39,14.44,474203.0
2025-10-17,14.55,14.7,13.74,13.79,565088.0
2025-10-20,13.98,14.19,13.82,14.01,396471.0
2025-10-21,14.02,14.35,13.91,14.13,383445.0
2025-10-22,14.01,14.2,13.83,14.09,268642.0
2025-10-23,14.2,14.21,13.76,14.16,323395.0
2025-10-24,14.29,14.38,14.08,14.34,411720.0
2025-10-27,14.9,15.26,14.66,14.68,818063.0
2025-10-28,14.5,14.8,14.43,14.59,443229.0
2025-10-29,14.45,15.15,14.4,14.97,689350.0
2025-10-30,14.98,15.14,14.46,14.48,477947.0
2025-10-31,14.51,14.65,14.42,14.52,271239.0
2025-11-03,14.44,14.52,14.23,14.47,250847.0
2025-11-04,14.41,14.46,14.05,14.23,332576.0
2025-11-05,14.0,14.41,13.98,14.18,232319.0
2025-11-06,14.24,14.44,14.18,14.28,291711.0
2025-11-07,14.2,14.2,13.85,13.87,371132.0
2025-11-10,13.83,14.19,13.81,14.14,327269.0
2025-11-11,14.13,14.15,13.66,13.71,377108.0
2025-11-12,13.35,13.39,12.34,12.6,961418.0
2025-11-13,12.41,12.98,12.4,12.91,519894.0
2025-11-14,12.74,12.91,12.7,12.7,232715.0
2025-11-17,12.92,13.25,12.9,13.16,376030.0
2025-11-18,13.19,13.26,13.02,13.1,240784.0
2025-11-19,13.1,13.26,12.9,13.01,192799.0
2025-11-20,13.56,13.62,12.78,12.79,313507.0
2025-11-21,12.51,12.89,12.44,12.46,292468.0
2025-11-24,12.52,12.77,12.31,12.73,286573.0
2025-11-25,12.73,12.89,12.6,12.67,253064.0
2025-11-26,12.62,12.79,12.59,12.63,183183.0
2025-11-27,12.6,12.82,12.6,12.61,170706.0
2025-11-28,12.61,12.8,12.55,12.78,211264.0
2025-12-01,12.82,12.98,12.72,12.87,193872.0
2025-12-02,12.83,12.85,12.66,12.75,178042.0
2025-12-03,12.77,12.82,12.39,12.46,208344.0
2025-12-04,12.42,12.66,12.32,12.55,166676.0
2025-12-05,12.54,13.76,12.5,13.41,829958.0
